App name,No.,Time,Source,Destination,Protocol,Length,Info
Netflix,16990,663.769347,172.30.1.1,172.30.1.250,TCP,88,34822  >  443 [ACK] Seq=42684 Ack=17169572 Win=7712256 Len=0
Netflix,16991,663.774188,172.30.1.250,172.30.1.1,TCP,10048,443  >  34822 [ACK] Seq=17169572 Ack=42684 Win=2097152 Len=9960 [TCP segment of a reassembled PDU]
Netflix,16992,663.77447,172.30.1.250,172.30.1.1,TLSv1.3,4492,Application Data
Netflix,16993,663.775864,172.30.1.1,172.30.1.250,TCP,88,34822  >  443 [ACK] Seq=42684 Ack=17183938 Win=7712256 Len=0
Netflix,16994,663.780272,172.30.1.250,172.30.1.1,TCP,6616,"443  >  34822 [PSH, ACK] Seq=17183938 Ack=42684 Win=2097152 Len=6530 [TCP segment of a reassembled PDU]"
Netflix,16995,663.78128,172.30.1.1,172.30.1.250,TCP,88,34822  >  443 [ACK] Seq=42684 Ack=17190468 Win=7712256 Len=0
Netflix,16996,663.789351,172.30.1.250,172.30.1.1,TCP,2700,"443  >  34822 [PSH, ACK] Seq=17190468 Ack=42684 Win=2097152 Len=2612 [TCP segment of a reassembled PDU]"
Netflix,16997,663.789842,172.30.1.1,172.30.1.250,TCP,88,34822  >  443 [ACK] Seq=42684 Ack=17193080 Win=7712256 Len=0
Netflix,16998,663.831863,172.30.1.250,172.30.1.1,TLSv1.3,6616,Application Data
Netflix,16999,663.832942,172.30.1.1,172.30.1.250,TCP,88,34822  >  443 [ACK] Seq=42684 Ack=17199610 Win=7712256 Len=0
Netflix,17000,663.839968,172.30.1.250,172.30.1.1,TCP,10048,443  >  34820 [ACK] Seq=25620426 Ack=52764 Win=2097152 Len=9960 [TCP segment of a reassembled PDU]
Netflix,17001,663.840271,172.30.1.1,172.30.1.250,TCP,88,34820  >  443 [ACK] Seq=52764 Ack=25630386 Win=5884416 Len=0
Netflix,17002,663.840341,172.30.1.250,172.30.1.1,TLSv1.3,10048,Application Data
Netflix,17003,663.840851,172.30.1.250,172.30.1.1,TCP,10048,443  >  34822 [ACK] Seq=17199610 Ack=42684 Win=2097152 Len=9960 [TCP segment of a reassembled PDU]
Netflix,17004,663.841022,172.30.1.1,172.30.1.250,TCP,88,34820  >  443 [ACK] Seq=52764 Ack=25640346 Win=5876224 Len=0
Netflix,17005,663.841091,172.30.1.250,172.30.1.1,TCP,10048,443  >  34820 [ACK] Seq=25640346 Ack=52764 Win=2097152 Len=9960 [TCP segment of a reassembled PDU]
Netflix,17006,663.841318,172.30.1.250,172.30.1.1,TCP,3188,"443  >  34822 [PSH, ACK] Seq=17209570 Ack=42684 Win=2097152 Len=3100 [TCP segment of a reassembled PDU]"
Netflix,17007,663.84143,172.30.1.1,172.30.1.250,TCP,88,34820  >  443 [ACK] Seq=52764 Ack=25650306 Win=5867520 Len=0
Netflix,17008,663.841494,172.30.1.250,172.30.1.1,TLSv1.3,10048,Application Data
Netflix,17009,663.843103,172.30.1.1,172.30.1.250,TCP,88,34820  >  443 [ACK] Seq=52764 Ack=25660266 Win=5859328 Len=0
Netflix,17010,663.843172,172.30.1.250,172.30.1.1,TLSv1.3,10048,Application Data
Netflix,17011,663.843375,172.30.1.1,172.30.1.250,TCP,88,34820  >  443 [ACK] Seq=52764 Ack=25670226 Win=5851136 Len=0
Netflix,17012,663.84354,172.30.1.250,172.30.1.1,TCP,10048,443  >  34820 [ACK] Seq=25670226 Ack=52764 Win=2097152 Len=9960 [TCP segment of a reassembled PDU]
Netflix,17013,663.843913,172.30.1.250,172.30.1.1,TLSv1.3,10048,Application Data
Netflix,17014,663.844072,172.30.1.1,172.30.1.250,TCP,88,34820  >  443 [ACK] Seq=52764 Ack=25680186 Win=5842944 Len=0
Netflix,17015,663.844134,172.30.1.250,172.30.1.1,TLSv1.3,10048,Application Data
Netflix,17016,663.84435,172.30.1.250,172.30.1.1,TLSv1.3,10048,Application Data
Netflix,17017,663.844505,172.30.1.1,172.30.1.250,TCP,88,34820  >  443 [ACK] Seq=52764 Ack=25690146 Win=5834240 Len=0
Netflix,17018,663.844582,172.30.1.250,172.30.1.1,TCP,408,"443  >  34820 [PSH, ACK] Seq=25690146 Ack=52764 Win=2097152 Len=321 [TCP segment of a reassembled PDU]"
Netflix,17019,663.844831,172.30.1.250,172.30.1.1,TCP,10048,443  >  34822 [ACK] Seq=17232590 Ack=42684 Win=2097152 Len=9960 [TCP segment of a reassembled PDU]
Netflix,17020,663.845259,172.30.1.1,172.30.1.250,TCP,88,34820  >  443 [ACK] Seq=52764 Ack=25690467 Win=5834240 Len=0
Netflix,17021,663.84543,172.30.1.250,172.30.1.1,TLSv1.3,10048,Application Data
Netflix,17022,663.845722,172.30.1.250,172.30.1.1,TCP,9592,"443  >  34822 [PSH, ACK] Seq=17252510 Ack=42684 Win=2097152 Len=9506 [TCP segment of a reassembled PDU]"
Netflix,17023,663.849355,172.30.1.1,172.30.1.250,TCP,88,34822  >  443 [ACK] Seq=42684 Ack=17262016 Win=7671808 Len=0
Netflix,17024,663.849631,172.30.1.250,172.30.1.1,TLSv1.3,10048,Application Data
Netflix,17025,663.849933,172.30.1.250,172.30.1.1,TLSv1.3,10048,Application Data
Netflix,17026,663.850174,172.30.1.250,172.30.1.1,TCP,3676,"443  >  34822 [PSH, ACK] Seq=17281936 Ack=42684 Win=2097152 Len=3588 [TCP segment of a reassembled PDU]"
Netflix,17027,663.85069,172.30.1.1,172.30.1.250,TCP,88,34822  >  443 [ACK] Seq=42684 Ack=17285524 Win=7671808 Len=0
Netflix,17028,663.878057,172.30.1.250,172.30.1.1,TCP,2700,"443  >  34822 [PSH, ACK] Seq=17285524 Ack=42684 Win=2097152 Len=2612 [TCP segment of a reassembled PDU]"
Netflix,17029,663.879106,172.30.1.1,172.30.1.250,TCP,88,34822  >  443 [ACK] Seq=42684 Ack=17288136 Win=7712256 Len=0
Netflix,17030,663.889365,172.30.1.250,172.30.1.1,TCP,4004,"443  >  34822 [PSH, ACK] Seq=17288136 Ack=42684 Win=2097152 Len=3918 [TCP segment of a reassembled PDU]"
Netflix,17031,663.889906,172.30.1.1,172.30.1.250,TCP,88,34822  >  443 [ACK] Seq=42684 Ack=17292054 Win=7712256 Len=0
Netflix,17032,663.897543,172.30.1.250,172.30.1.1,TCP,2700,"443  >  34822 [PSH, ACK] Seq=17292054 Ack=42684 Win=2097152 Len=2612 [TCP segment of a reassembled PDU]"
Netflix,17033,663.898177,172.30.1.1,172.30.1.250,TCP,88,34822  >  443 [ACK] Seq=42684 Ack=17294666 Win=7712256 Len=0
Netflix,17034,663.905982,172.30.1.250,172.30.1.1,TLSv1.3,4004,Application Data
Netflix,17035,663.906632,172.30.1.1,172.30.1.250,TCP,88,34822  >  443 [ACK] Seq=42684 Ack=17298584 Win=7712256 Len=0
Netflix,17036,663.908669,172.30.1.250,172.30.1.1,TCP,1392,"443  >  34822 [PSH, ACK] Seq=17298584 Ack=42684 Win=2097152 Len=1306 [TCP segment of a reassembled PDU]"
Netflix,17037,663.909291,172.30.1.1,172.30.1.250,TCP,88,34822  >  443 [ACK] Seq=42684 Ack=17299890 Win=7712256 Len=0
Netflix,17038,663.91788,172.30.1.250,172.30.1.1,TCP,4004,"443  >  34822 [PSH, ACK] Seq=17299890 Ack=42684 Win=2097152 Len=3918 [TCP segment of a reassembled PDU]"
Netflix,17039,663.918342,172.30.1.1,172.30.1.250,TCP,88,34822  >  443 [ACK] Seq=42684 Ack=17303808 Win=7712256 Len=0
Netflix,17040,663.921321,172.30.1.250,172.30.1.1,TCP,2700,"443  >  34820 [PSH, ACK] Seq=25690467 Ack=52764 Win=2097152 Len=2612 [TCP segment of a reassembled PDU]"
Netflix,17041,663.921852,172.30.1.250,172.30.1.1,TCP,1392,"443  >  34822 [PSH, ACK] Seq=17303808 Ack=42684 Win=2097152 Len=1306 [TCP segment of a reassembled PDU]"
Netflix,17042,663.921982,172.30.1.1,172.30.1.250,TCP,88,34820  >  443 [ACK] Seq=52764 Ack=25693079 Win=5890560 Len=0
Netflix,17043,663.922251,172.30.1.1,172.30.1.250,TCP,88,34822  >  443 [ACK] Seq=42684 Ack=17305114 Win=7712256 Len=0
Netflix,17044,663.925662,172.30.1.250,172.30.1.1,TCP,2700,"443  >  34820 [PSH, ACK] Seq=25693079 Ack=52764 Win=2097152 Len=2612 [TCP segment of a reassembled PDU]"
Netflix,17045,663.925937,172.30.1.1,172.30.1.250,TCP,88,34820  >  443 [ACK] Seq=52764 Ack=25695691 Win=5890560 Len=0
Netflix,17046,663.930628,172.30.1.250,172.30.1.1,TLSv1.3,10048,Application Data
Netflix,17047,663.930912,172.30.1.1,172.30.1.250,TCP,88,34820  >  443 [ACK] Seq=52764 Ack=25705651 Win=5884416 Len=0
Netflix,17048,663.930978,172.30.1.250,172.30.1.1,TCP,10048,443  >  34820 [ACK] Seq=25705651 Ack=52764 Win=2097152 Len=9960 [TCP segment of a reassembled PDU]
Netflix,17049,663.931183,172.30.1.1,172.30.1.250,TCP,88,34820  >  443 [ACK] Seq=52764 Ack=25715611 Win=5876224 Len=0
