"App name","No.","Time","Source","Destination","Protocol","Length","Info"
"Volvo Cars","7349","623.544434","172.30.1.250","172.30.1.1","TCP","2724","443  >  34640 [PSH, ACK] Seq=7293 Ack=1454 Win=2097152 Len=2636 [TCP segment of a reassembled PDU]"
"Volvo Cars","7350","623.544806","172.30.1.1","172.30.1.250","TCP","88","34640  >  443 [ACK] Seq=1454 Ack=9929 Win=125440 Len=0"
"Volvo Cars","7351","623.547265","172.30.1.250","172.30.1.1","TCP","5360","443  >  34640 [PSH, ACK] Seq=9929 Ack=1454 Win=2097152 Len=5272 [TCP segment of a reassembled PDU]"
"Volvo Cars","7352","623.547624","172.30.1.1","172.30.1.250","TCP","88","34640  >  443 [ACK] Seq=1454 Ack=15201 Win=145408 Len=0"
"Volvo Cars","7353","623.550713","172.30.1.250","172.30.1.1","TLSv1.2","1064","Application Data"
"Volvo Cars","7354","623.550949","172.30.1.1","172.30.1.250","TCP","88","34640  >  443 [ACK] Seq=1454 Ack=16179 Win=156160 Len=0"
"Volvo Cars","7355","623.571765","172.30.1.250","172.30.1.1","TLSv1.3","404","Application Data"
"Volvo Cars","7356","623.572283","172.30.1.1","172.30.1.250","TCP","88","53040  >  443 [ACK] Seq=19319 Ack=567245 Win=2541056 Len=0"
"Volvo Cars","7357","623.673591","172.30.1.1","172.30.1.250","TLSv1.3","192","Application Data"
"Volvo Cars","7358","623.673842","172.30.1.250","172.30.1.1","TCP","88","443  >  53040 [ACK] Seq=567245 Ack=19425 Win=2096640 Len=0"
"Volvo Cars","7359","623.674050","172.30.1.1","172.30.1.250","TLSv1.3","600","Application Data"
"Volvo Cars","7360","623.674162","172.30.1.250","172.30.1.1","TCP","88","443  >  53040 [ACK] Seq=567245 Ack=19938 Win=2096128 Len=0"
"Volvo Cars","7361","623.675036","172.30.1.1","172.30.1.250","TLSv1.3","220","Application Data"
"Volvo Cars","7362","623.675064","172.30.1.250","172.30.1.1","TCP","88","443  >  53040 [ACK] Seq=567245 Ack=20069 Win=2096128 Len=0"
"Volvo Cars","7363","623.765152","172.30.1.250","172.30.1.1","TLSv1.3","124","Application Data"
"Volvo Cars","7364","623.765455","172.30.1.1","172.30.1.250","TCP","88","53040  >  443 [ACK] Seq=20069 Ack=567280 Win=2541056 Len=0"
"Volvo Cars","7365","623.791914","172.30.1.250","172.30.1.1","TLSv1.3","436","Application Data"
"Volvo Cars","7366","623.792184","172.30.1.1","172.30.1.250","TCP","88","53040  >  443 [ACK] Seq=20069 Ack=567629 Win=2561024 Len=0"
"Volvo Cars","7367","623.857983","172.30.1.1","172.30.1.250","TLSv1.3","124","Application Data"
"Volvo Cars","7368","623.858310","172.30.1.250","172.30.1.1","TCP","88","443  >  53040 [ACK] Seq=567629 Ack=20104 Win=2096640 Len=0"
"Volvo Cars","7369","623.859173","172.30.1.1","172.30.1.250","TLSv1.3","488","Application Data"
"Volvo Cars","7370","623.859317","172.30.1.250","172.30.1.1","TCP","88","443  >  53040 [ACK] Seq=567629 Ack=20505 Win=2096640 Len=0"
"Volvo Cars","7371","623.859780","172.30.1.1","172.30.1.250","TLSv1.3","600","Application Data"
"Volvo Cars","7372","623.859889","172.30.1.250","172.30.1.1","TCP","88","443  >  53040 [ACK] Seq=567629 Ack=21018 Win=2096128 Len=0"
"Volvo Cars","7373","623.878344","172.30.1.1","172.30.1.250","TCP","108","38394  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=9960 SACK_PERM=1 TSval=1108945041 TSecr=0 WS=512"
"Volvo Cars","7374","623.933536","172.30.1.250","172.30.1.1","TCP","96","443  >  38394 [SYN, ACK] Seq=0 Ack=1 Win=4096 Len=0 MSS=9960 WS=512"
"Volvo Cars","7375","623.933840","172.30.1.1","172.30.1.250","TCP","88","38394  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"Volvo Cars","7376","623.935495","172.30.1.1","172.30.1.250","TLSv1.2","604","Client Hello"
"Volvo Cars","7377","623.936053","172.30.1.250","172.30.1.1","TCP","88","443  >  38394 [ACK] Seq=1 Ack=518 Win=2096128 Len=0"
"Volvo Cars","7378","624.060749","172.30.1.250","172.30.1.1","TLSv1.2","2700","Server Hello"
"Volvo Cars","7379","624.070500","172.30.1.1","172.30.1.250","TCP","88","38394  >  443 [ACK] Seq=518 Ack=2613 Win=85504 Len=0"
"Volvo Cars","7380","624.070657","172.30.1.250","172.30.1.1","TLSv1.2","2940","Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"Volvo Cars","7381","624.072945","172.30.1.1","172.30.1.250","TCP","88","38394  >  443 [ACK] Seq=518 Ack=5466 Win=105472 Len=0"
"Volvo Cars","7382","624.073879","172.30.1.250","172.30.1.1","TLSv1.3","124","Application Data"
"Volvo Cars","7383","624.074554","172.30.1.1","172.30.1.250","TCP","88","53040  >  443 [ACK] Seq=21018 Ack=567664 Win=2561024 Len=0"
"Volvo Cars","7384","624.077328","172.30.1.1","172.30.1.250","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"Volvo Cars","7385","624.077387","172.30.1.1","172.30.1.250","TLSv1.2","736","Application Data"
"Volvo Cars","7386","624.077983","172.30.1.250","172.30.1.1","TCP","88","443  >  38394 [ACK] Seq=5466 Ack=1259 Win=2096128 Len=0"
"Volvo Cars","7387","624.129613","172.30.1.250","172.30.1.1","TLSv1.3","260","Application Data"
"Volvo Cars","7388","624.129957","172.30.1.1","172.30.1.250","TCP","88","53040  >  443 [ACK] Seq=21018 Ack=567838 Win=2561024 Len=0"
"Volvo Cars","7389","624.132181","172.30.1.1","172.30.1.250","TLSv1.3","124","Application Data"
"Volvo Cars","7390","624.132362","172.30.1.250","172.30.1.1","TCP","88","443  >  53040 [ACK] Seq=567838 Ack=21053 Win=2096640 Len=0"
